Country,Air Pollutant,Air Pollutant Description,Year,Air Pollution Level,Unit Of Air Pollution Level
Austria,CO,Carbon monoxide (air),1999,3.987,mg/m3
Austria,CO,Carbon monoxide (air),1998,4.591,mg/m3
Austria,CO,Carbon monoxide (air),1997,5.143,mg/m3
Austria,CO,Carbon monoxide (air),1999,1.044,mg/m3
Austria,CO,Carbon monoxide (air),1998,1.17,mg/m3
Austria,CO,Carbon monoxide (air),1997,1.441,mg/m3
Austria,CO,Carbon monoxide (air),1998,1.564,mg/m3
Austria,CO,Carbon monoxide (air),1999,1.6,mg/m3
Austria,CO,Carbon monoxide (air),1997,2.0,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.347,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.376,mg/m3
Austria,CO,Carbon monoxide (air),1997,0.427,mg/m3
Austria,CO,Carbon monoxide (air),1998,2.335,mg/m3
Austria,CO,Carbon monoxide (air),1997,3.0,mg/m3
Austria,CO,Carbon monoxide (air),1999,3.029,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.571,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.571,mg/m3
Austria,CO,Carbon monoxide (air),1997,0.828,mg/m3
Austria,CO,Carbon monoxide (air),1998,2.122,mg/m3
Austria,CO,Carbon monoxide (air),1999,2.386,mg/m3
Austria,CO,Carbon monoxide (air),1997,2.429,mg/m3
Austria,CO,Carbon monoxide (air),1997,0.395,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.484,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.526,mg/m3
Austria,CO,Carbon monoxide (air),1995,1.747,mg/m3
Austria,CO,Carbon monoxide (air),2000,1.788,mg/m3
Austria,CO,Carbon monoxide (air),1999,1.9,mg/m3
Austria,CO,Carbon monoxide (air),1994,2.322,mg/m3
Austria,CO,Carbon monoxide (air),1996,2.473,mg/m3
Austria,CO,Carbon monoxide (air),1998,2.489,mg/m3
Austria,CO,Carbon monoxide (air),1993,2.896,mg/m3
Austria,CO,Carbon monoxide (air),2000,0.426,mg/m3
Austria,CO,Carbon monoxide (air),1995,0.435,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.474,mg/m3
Austria,CO,Carbon monoxide (air),1996,0.529,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.556,mg/m3
Austria,CO,Carbon monoxide (air),1994,0.58,mg/m3
Austria,CO,Carbon monoxide (air),1995,1.671,mg/m3
Austria,CO,Carbon monoxide (air),1999,1.775,mg/m3
Austria,CO,Carbon monoxide (air),2000,1.817,mg/m3
Austria,CO,Carbon monoxide (air),2001,2.138,mg/m3
Austria,CO,Carbon monoxide (air),1996,2.411,mg/m3
Austria,CO,Carbon monoxide (air),1998,2.452,mg/m3
Austria,CO,Carbon monoxide (air),1997,2.75,mg/m3
Austria,CO,Carbon monoxide (air),1994,3.174,mg/m3
Austria,CO,Carbon monoxide (air),1997,0.413,mg/m3
Austria,CO,Carbon monoxide (air),2001,0.441,mg/m3
Austria,CO,Carbon monoxide (air),1995,0.459,mg/m3
Austria,CO,Carbon monoxide (air),1996,0.506,mg/m3
Austria,CO,Carbon monoxide (air),2000,0.508,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.518,mg/m3
Austria,CO,Carbon monoxide (air),1994,0.544,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.608,mg/m3
Austria,CO,Carbon monoxide (air),2003,1.775,mg/m3
Austria,CO,Carbon monoxide (air),2002,1.788,mg/m3
Austria,CO,Carbon monoxide (air),1996,2.017,mg/m3
Austria,CO,Carbon monoxide (air),1999,2.088,mg/m3
Austria,CO,Carbon monoxide (air),1995,2.107,mg/m3
Austria,CO,Carbon monoxide (air),2001,2.15,mg/m3
Austria,CO,Carbon monoxide (air),1997,2.25,mg/m3
Austria,CO,Carbon monoxide (air),2000,2.529,mg/m3
Austria,CO,Carbon monoxide (air),1994,2.58,mg/m3
Austria,CO,Carbon monoxide (air),1998,2.866,mg/m3
Austria,CO,Carbon monoxide (air),1997,0.235,mg/m3
Austria,CO,Carbon monoxide (air),2003,0.403,mg/m3
Austria,CO,Carbon monoxide (air),1996,0.408,mg/m3
Austria,CO,Carbon monoxide (air),1995,0.412,mg/m3
Austria,CO,Carbon monoxide (air),2002,0.438,mg/m3
Austria,CO,Carbon monoxide (air),2001,0.442,mg/m3
Austria,CO,Carbon monoxide (air),2000,0.475,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.477,mg/m3
Austria,CO,Carbon monoxide (air),1994,0.492,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.492,mg/m3
Austria,CO,Carbon monoxide (air),2007,1.128,mg/m3
Austria,CO,Carbon monoxide (air),2006,1.843,mg/m3
Austria,CO,Carbon monoxide (air),2007,0.294,mg/m3
Austria,CO,Carbon monoxide (air),2006,0.333,mg/m3
Austria,CO,Carbon monoxide (air),2010,1.98,mg/m3
Austria,CO,Carbon monoxide (air),2010,0.371,mg/m3
Austria,CO,Carbon monoxide (air),2010,2.734,mg/m3
Austria,CO,Carbon monoxide (air),2010,0.372,mg/m3
Austria,CO,Carbon monoxide (air),2010,1.359,mg/m3
Austria,CO,Carbon monoxide (air),2010,0.345,mg/m3
Austria,CO,Carbon monoxide (air),1997,4.0,mg/m3
Austria,CO,Carbon monoxide (air),2000,4.114,mg/m3
Austria,CO,Carbon monoxide (air),1999,5.162,mg/m3
Austria,CO,Carbon monoxide (air),1998,5.554,mg/m3
Austria,CO,Carbon monoxide (air),1997,0.604,mg/m3
Austria,CO,Carbon monoxide (air),2000,0.611,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.666,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.786,mg/m3
Austria,CO,Carbon monoxide (air),2003,2.675,mg/m3
Austria,CO,Carbon monoxide (air),2004,2.794,mg/m3
Austria,CO,Carbon monoxide (air),2005,3.049,mg/m3
Austria,CO,Carbon monoxide (air),2002,3.843,mg/m3
Austria,CO,Carbon monoxide (air),2001,4.125,mg/m3
Austria,CO,Carbon monoxide (air),1996,4.157,mg/m3
Austria,CO,Carbon monoxide (air),1994,4.439,mg/m3
Austria,CO,Carbon monoxide (air),2000,4.775,mg/m3
Austria,CO,Carbon monoxide (air),1998,5.073,mg/m3
Austria,CO,Carbon monoxide (air),1999,5.1,mg/m3
Austria,CO,Carbon monoxide (air),1995,5.326,mg/m3
Austria,CO,Carbon monoxide (air),1997,5.5,mg/m3
Austria,CO,Carbon monoxide (air),1992,6.075,mg/m3
Austria,CO,Carbon monoxide (air),1993,8.566,mg/m3
Austria,CO,Carbon monoxide (air),1990,9.643,mg/m3
Austria,CO,Carbon monoxide (air),1991,10.0,mg/m3
Austria,CO,Carbon monoxide (air),2005,0.495,mg/m3
Austria,CO,Carbon monoxide (air),2004,0.548,mg/m3
Austria,CO,Carbon monoxide (air),2003,0.632,mg/m3
Austria,CO,Carbon monoxide (air),1994,0.634,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.67,mg/m3
Austria,CO,Carbon monoxide (air),2002,0.676,mg/m3
Austria,CO,Carbon monoxide (air),2001,0.705,mg/m3
Austria,CO,Carbon monoxide (air),2000,0.734,mg/m3
Austria,CO,Carbon monoxide (air),1997,0.753,mg/m3
Austria,CO,Carbon monoxide (air),1996,0.83,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.842,mg/m3
Austria,CO,Carbon monoxide (air),1995,0.91,mg/m3
Austria,CO,Carbon monoxide (air),1992,0.957,mg/m3
Austria,CO,Carbon monoxide (air),1993,1.032,mg/m3
Austria,CO,Carbon monoxide (air),1991,1.248,mg/m3
Austria,CO,Carbon monoxide (air),1990,1.775,mg/m3
Austria,CO,Carbon monoxide (air),2010,1.739,mg/m3
Austria,CO,Carbon monoxide (air),2008,1.784,mg/m3
Austria,CO,Carbon monoxide (air),2004,2.149,mg/m3
Austria,CO,Carbon monoxide (air),2007,2.221,mg/m3
Austria,CO,Carbon monoxide (air),2009,2.431,mg/m3
Austria,CO,Carbon monoxide (air),2005,2.716,mg/m3
Austria,CO,Carbon monoxide (air),2003,2.763,mg/m3
Austria,CO,Carbon monoxide (air),2002,2.8,mg/m3
Austria,CO,Carbon monoxide (air),2000,3.312,mg/m3
Austria,CO,Carbon monoxide (air),1995,3.396,mg/m3
Austria,CO,Carbon monoxide (air),1996,3.412,mg/m3
Austria,CO,Carbon monoxide (air),1998,3.501,mg/m3
Austria,CO,Carbon monoxide (air),2006,3.615,mg/m3
Austria,CO,Carbon monoxide (air),1999,3.775,mg/m3
Austria,CO,Carbon monoxide (air),2001,3.8,mg/m3
Austria,CO,Carbon monoxide (air),1997,4.25,mg/m3
Austria,CO,Carbon monoxide (air),1994,5.036,mg/m3
Austria,CO,Carbon monoxide (air),1993,5.944,mg/m3
Austria,CO,Carbon monoxide (air),1990,7.019,mg/m3
Austria,CO,Carbon monoxide (air),1992,7.4,mg/m3
Austria,CO,Carbon monoxide (air),1991,8.887,mg/m3
Austria,CO,Carbon monoxide (air),2010,0.353,mg/m3
Austria,CO,Carbon monoxide (air),2007,0.354,mg/m3
Austria,CO,Carbon monoxide (air),2009,0.371,mg/m3
Austria,CO,Carbon monoxide (air),2008,0.382,mg/m3
Austria,CO,Carbon monoxide (air),2004,0.412,mg/m3
Austria,CO,Carbon monoxide (air),2005,0.415,mg/m3
Austria,CO,Carbon monoxide (air),2006,0.417,mg/m3
Austria,CO,Carbon monoxide (air),1997,0.421,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.471,mg/m3
Austria,CO,Carbon monoxide (air),2001,0.474,mg/m3
Austria,CO,Carbon monoxide (air),2002,0.478,mg/m3
Austria,CO,Carbon monoxide (air),2000,0.481,mg/m3
Austria,CO,Carbon monoxide (air),2003,0.482,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.508,mg/m3
Austria,CO,Carbon monoxide (air),1996,0.511,mg/m3
Austria,CO,Carbon monoxide (air),1995,0.562,mg/m3
Austria,CO,Carbon monoxide (air),1993,0.573,mg/m3
Austria,CO,Carbon monoxide (air),1994,0.619,mg/m3
Austria,CO,Carbon monoxide (air),1992,0.633,mg/m3
Austria,CO,Carbon monoxide (air),1991,0.879,mg/m3
Austria,CO,Carbon monoxide (air),1990,0.898,mg/m3
Austria,CO,Carbon monoxide (air),2002,2.037,mg/m3
Austria,CO,Carbon monoxide (air),2000,2.175,mg/m3
Austria,CO,Carbon monoxide (air),1995,2.23,mg/m3
Austria,CO,Carbon monoxide (air),1996,2.257,mg/m3
Austria,CO,Carbon monoxide (air),1994,2.376,mg/m3
Austria,CO,Carbon monoxide (air),1997,2.625,mg/m3
Austria,CO,Carbon monoxide (air),1992,2.731,mg/m3
Austria,CO,Carbon monoxide (air),1999,2.914,mg/m3
Austria,CO,Carbon monoxide (air),2001,3.286,mg/m3
Austria,CO,Carbon monoxide (air),1993,4.363,mg/m3
Austria,CO,Carbon monoxide (air),1998,4.469,mg/m3
Austria,CO,Carbon monoxide (air),1997,0.335,mg/m3
Austria,CO,Carbon monoxide (air),1994,0.402,mg/m3
Austria,CO,Carbon monoxide (air),2002,0.408,mg/m3
Austria,CO,Carbon monoxide (air),2000,0.416,mg/m3
Austria,CO,Carbon monoxide (air),2001,0.423,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.453,mg/m3
Austria,CO,Carbon monoxide (air),1996,0.454,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.47,mg/m3
Austria,CO,Carbon monoxide (air),1992,0.502,mg/m3
Austria,CO,Carbon monoxide (air),1995,0.52,mg/m3
Austria,CO,Carbon monoxide (air),1993,0.564,mg/m3
Austria,CO,Carbon monoxide (air),1998,1.879,mg/m3
Austria,CO,Carbon monoxide (air),1997,2.0,mg/m3
Austria,CO,Carbon monoxide (air),1997,0.286,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.486,mg/m3
Austria,CO,Carbon monoxide (air),1996,4.025,mg/m3
Austria,CO,Carbon monoxide (air),1995,5.597,mg/m3
Austria,CO,Carbon monoxide (air),1996,0.765,mg/m3
Austria,CO,Carbon monoxide (air),1995,0.785,mg/m3
Austria,CO,Carbon monoxide (air),2007,2.807,mg/m3
Austria,CO,Carbon monoxide (air),2005,2.864,mg/m3
Austria,CO,Carbon monoxide (air),2003,3.2,mg/m3
Austria,CO,Carbon monoxide (air),2004,3.376,mg/m3
Austria,CO,Carbon monoxide (air),1995,3.4,mg/m3
Austria,CO,Carbon monoxide (air),2002,3.438,mg/m3
Austria,CO,Carbon monoxide (air),2006,3.5,mg/m3
Austria,CO,Carbon monoxide (air),1997,3.875,mg/m3
Austria,CO,Carbon monoxide (air),1996,4.121,mg/m3
Austria,CO,Carbon monoxide (air),2001,4.15,mg/m3
Austria,CO,Carbon monoxide (air),2000,4.312,mg/m3
Austria,CO,Carbon monoxide (air),1992,4.986,mg/m3
Austria,CO,Carbon monoxide (air),1994,5.12,mg/m3
Austria,CO,Carbon monoxide (air),1998,5.421,mg/m3
Austria,CO,Carbon monoxide (air),1999,6.012,mg/m3
Austria,CO,Carbon monoxide (air),1993,6.847,mg/m3
Austria,CO,Carbon monoxide (air),2007,0.401,mg/m3
Austria,CO,Carbon monoxide (air),2005,0.443,mg/m3
Austria,CO,Carbon monoxide (air),2004,0.467,mg/m3
Austria,CO,Carbon monoxide (air),1997,0.481,mg/m3
Austria,CO,Carbon monoxide (air),2006,0.483,mg/m3
Austria,CO,Carbon monoxide (air),2002,0.533,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.542,mg/m3
Austria,CO,Carbon monoxide (air),2003,0.553,mg/m3
Austria,CO,Carbon monoxide (air),2001,0.564,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.576,mg/m3
Austria,CO,Carbon monoxide (air),1992,0.578,mg/m3
Austria,CO,Carbon monoxide (air),1995,0.582,mg/m3
Austria,CO,Carbon monoxide (air),2000,0.584,mg/m3
Austria,CO,Carbon monoxide (air),1996,0.591,mg/m3
Austria,CO,Carbon monoxide (air),1994,0.7,mg/m3
Austria,CO,Carbon monoxide (air),1993,0.929,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.444,mg/m3
Austria,CO,Carbon monoxide (air),2000,0.571,mg/m3
Austria,CO,Carbon monoxide (air),2001,0.611,mg/m3
Austria,CO,Carbon monoxide (air),2002,0.74,mg/m3
Austria,CO,Carbon monoxide (air),2003,0.817,mg/m3
Austria,CO,Carbon monoxide (air),2000,0.156,mg/m3
Austria,CO,Carbon monoxide (air),2001,0.181,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.182,mg/m3
Austria,CO,Carbon monoxide (air),2002,0.21,mg/m3
Austria,CO,Carbon monoxide (air),2003,0.225,mg/m3
Austria,CO,Carbon monoxide (air),1999,4.688,mg/m3
Austria,CO,Carbon monoxide (air),1998,5.529,mg/m3
Austria,CO,Carbon monoxide (air),1997,6.375,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.692,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.852,mg/m3
Austria,CO,Carbon monoxide (air),1997,0.953,mg/m3
Austria,CO,Carbon monoxide (air),2001,4.525,mg/m3
Austria,CO,Carbon monoxide (air),2002,5.037,mg/m3
Austria,CO,Carbon monoxide (air),2001,0.642,mg/m3
Austria,CO,Carbon monoxide (air),2002,0.69,mg/m3
Austria,CO,Carbon monoxide (air),1997,6.25,mg/m3
Austria,CO,Carbon monoxide (air),1997,1.212,mg/m3
Austria,CO,Carbon monoxide (air),2003,1.788,mg/m3
Austria,CO,Carbon monoxide (air),2003,0.287,mg/m3
Austria,CO,Carbon monoxide (air),2004,2.096,mg/m3
Austria,CO,Carbon monoxide (air),2003,2.4,mg/m3
Austria,CO,Carbon monoxide (air),2001,2.6,mg/m3
Austria,CO,Carbon monoxide (air),2000,2.85,mg/m3
Austria,CO,Carbon monoxide (air),2002,3.25,mg/m3
Austria,CO,Carbon monoxide (air),1999,3.45,mg/m3
Austria,CO,Carbon monoxide (air),2004,0.461,mg/m3
Austria,CO,Carbon monoxide (air),2002,0.47,mg/m3
Austria,CO,Carbon monoxide (air),2003,0.471,mg/m3
Austria,CO,Carbon monoxide (air),2000,0.558,mg/m3
Austria,CO,Carbon monoxide (air),2001,0.571,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.768,mg/m3
Austria,CO,Carbon monoxide (air),1997,1.625,mg/m3
Austria,CO,Carbon monoxide (air),1998,2.394,mg/m3
Austria,CO,Carbon monoxide (air),1997,0.182,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.292,mg/m3
Austria,CO,Carbon monoxide (air),1999,2.55,mg/m3
Austria,CO,Carbon monoxide (air),1998,2.597,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.48,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.535,mg/m3
Austria,CO,Carbon monoxide (air),1997,2.875,mg/m3
Austria,CO,Carbon monoxide (air),1998,3.026,mg/m3
Austria,CO,Carbon monoxide (air),1997,0.264,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.372,mg/m3
Austria,CO,Carbon monoxide (air),2021,0.815,mg/m3
Austria,CO,Carbon monoxide (air),2020,0.936,mg/m3
Austria,CO,Carbon monoxide (air),2018,0.943,mg/m3
Austria,CO,Carbon monoxide (air),2016,1.068,mg/m3
Austria,CO,Carbon monoxide (air),2019,1.085,mg/m3
Austria,CO,Carbon monoxide (air),2013,1.307,mg/m3
Austria,CO,Carbon monoxide (air),2015,1.427,mg/m3
Austria,CO,Carbon monoxide (air),2014,1.434,mg/m3
Austria,CO,Carbon monoxide (air),2017,1.706,mg/m3
Austria,CO,Carbon monoxide (air),2013,0.0,count
Austria,CO,Carbon monoxide (air),2014,0.0,count
Austria,CO,Carbon monoxide (air),2015,0.0,count
Austria,CO,Carbon monoxide (air),2016,0.0,count
Austria,CO,Carbon monoxide (air),2017,0.0,count
Austria,CO,Carbon monoxide (air),2018,0.0,count
Austria,CO,Carbon monoxide (air),2019,0.0,count
Austria,CO,Carbon monoxide (air),2020,0.0,count
Austria,CO,Carbon monoxide (air),2021,0.0,count
Austria,CO,Carbon monoxide (air),2021,0.198,mg/m3
Austria,CO,Carbon monoxide (air),2020,0.235,mg/m3
Austria,CO,Carbon monoxide (air),2019,0.255,mg/m3
Austria,CO,Carbon monoxide (air),2016,0.256,mg/m3
Austria,CO,Carbon monoxide (air),2018,0.265,mg/m3
Austria,CO,Carbon monoxide (air),2015,0.3,mg/m3
Austria,CO,Carbon monoxide (air),2017,0.301,mg/m3
Austria,CO,Carbon monoxide (air),2013,0.316,mg/m3
Austria,CO,Carbon monoxide (air),2014,0.358,mg/m3
Austria,CO,Carbon monoxide (air),2008,1.277,mg/m3
Austria,CO,Carbon monoxide (air),2012,1.304,mg/m3
Austria,CO,Carbon monoxide (air),2009,1.306,mg/m3
Austria,CO,Carbon monoxide (air),2011,1.499,mg/m3
Austria,CO,Carbon monoxide (air),2003,1.55,mg/m3
Austria,CO,Carbon monoxide (air),2007,1.673,mg/m3
Austria,CO,Carbon monoxide (air),2002,1.888,mg/m3
Austria,CO,Carbon monoxide (air),2001,1.943,mg/m3
Austria,CO,Carbon monoxide (air),2005,1.994,mg/m3
Austria,CO,Carbon monoxide (air),2004,2.01,mg/m3
Austria,CO,Carbon monoxide (air),2006,2.264,mg/m3
Austria,CO,Carbon monoxide (air),2010,2.355,mg/m3
Austria,CO,Carbon monoxide (air),2000,2.425,mg/m3
Austria,CO,Carbon monoxide (air),2012,0.3,mg/m3
Austria,CO,Carbon monoxide (air),2008,0.321,mg/m3
Austria,CO,Carbon monoxide (air),2001,0.327,mg/m3
Austria,CO,Carbon monoxide (air),2003,0.329,mg/m3
Austria,CO,Carbon monoxide (air),2009,0.331,mg/m3
Austria,CO,Carbon monoxide (air),2007,0.338,mg/m3
Austria,CO,Carbon monoxide (air),2004,0.342,mg/m3
Austria,CO,Carbon monoxide (air),2005,0.351,mg/m3
Austria,CO,Carbon monoxide (air),2011,0.366,mg/m3
Austria,CO,Carbon monoxide (air),2000,0.376,mg/m3
Austria,CO,Carbon monoxide (air),2002,0.378,mg/m3
Austria,CO,Carbon monoxide (air),2006,0.378,mg/m3
Austria,CO,Carbon monoxide (air),2010,0.383,mg/m3
Austria,CO,Carbon monoxide (air),2008,1.735,mg/m3
Austria,CO,Carbon monoxide (air),2007,1.883,mg/m3
Austria,CO,Carbon monoxide (air),2009,1.954,mg/m3
Austria,CO,Carbon monoxide (air),2005,2.055,mg/m3
Austria,CO,Carbon monoxide (air),2006,2.158,mg/m3
Austria,CO,Carbon monoxide (air),2004,2.334,mg/m3
Austria,CO,Carbon monoxide (air),2003,2.487,mg/m3
Austria,CO,Carbon monoxide (air),2010,2.529,mg/m3
Austria,CO,Carbon monoxide (air),2001,2.7,mg/m3
Austria,CO,Carbon monoxide (air),1999,3.25,mg/m3
Austria,CO,Carbon monoxide (air),2000,3.25,mg/m3
Austria,CO,Carbon monoxide (air),2002,3.287,mg/m3
Austria,CO,Carbon monoxide (air),1998,3.788,mg/m3
Austria,CO,Carbon monoxide (air),1997,3.857,mg/m3
Austria,CO,Carbon monoxide (air),1995,4.324,mg/m3
Austria,CO,Carbon monoxide (air),1996,4.499,mg/m3
Austria,CO,Carbon monoxide (air),1994,4.535,mg/m3
Austria,CO,Carbon monoxide (air),1993,4.574,mg/m3
Austria,CO,Carbon monoxide (air),1991,5.434,mg/m3
Austria,CO,Carbon monoxide (air),1992,6.035,mg/m3
Austria,CO,Carbon monoxide (air),2001,0.423,mg/m3
Austria,CO,Carbon monoxide (air),2009,0.48,mg/m3
Austria,CO,Carbon monoxide (air),2002,0.488,mg/m3
Austria,CO,Carbon monoxide (air),2008,0.492,mg/m3
Austria,CO,Carbon monoxide (air),2004,0.521,mg/m3
Austria,CO,Carbon monoxide (air),2010,0.526,mg/m3
Austria,CO,Carbon monoxide (air),2007,0.534,mg/m3
Austria,CO,Carbon monoxide (air),2005,0.587,mg/m3
Austria,CO,Carbon monoxide (air),2000,0.59,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.658,mg/m3
Austria,CO,Carbon monoxide (air),1997,0.661,mg/m3
Austria,CO,Carbon monoxide (air),2003,0.664,mg/m3
Austria,CO,Carbon monoxide (air),2006,0.693,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.756,mg/m3
Austria,CO,Carbon monoxide (air),1996,0.771,mg/m3
Austria,CO,Carbon monoxide (air),1993,0.854,mg/m3
Austria,CO,Carbon monoxide (air),1995,0.863,mg/m3
Austria,CO,Carbon monoxide (air),1994,0.866,mg/m3
Austria,CO,Carbon monoxide (air),1992,0.972,mg/m3
